OBJECTID,BUSINESSNAME,PRINCIPALOWNER,EXPIRATIONDATE,GIS_LAST_MOD_DTTM,WEBSITE,WARD,STARTDATE,PROPOSALPOINTS,PHONE,OTHERCERTIFICATIONS,ORGANIZATIONTYPE,FAX,EMAIL,DATEESTABLISHED,CONTACTNAME,CERTIFICATIONNUMBER,BUSINESSDESC,BIDPRICEREDUCTION,ADDRESS,SBE,CATEGORIES,MAR_ID,XCOORD,YCOORD,LATITUDE,LONGITUDE
1011,"Prive Demeure, Inc.","Ashante Yussuf;Babatunde Yussuf",2020-09-21T00:00:00.000Z,2019-02-08T05:02:22.000Z,www.PriveDemeureInc.com,7,2017-08-28T00:00:00.000Z,12,2026707009,,Corporation,,ashante.yussuf@privedemeureinc.com,2002-10-31T00:00:00.000Z,Ashante Yussuf,LSDZR39419092020,"We are a real estate development and management company offering a multiplicity of services such as design (architectural/engineering and interior), construction, renovation, project/construction management, and property management.",,323 58TH STREET NE Washington DC 20019 ,true,"Local Business Enterprise (LBE);Disadvantaged Business Enterprise (DBE);Small Business Enterprise (SBE);Development Enterprise Zone (DZE);Resident Owned Business (ROB);",37925,407155.61,136221.89,38.8938144593089,-76.9175158891482
1012,"PRM Consulting, Inc.",Jim Moss,2021-08-21T00:00:00.000Z,2019-02-08T05:02:22.000Z,www.prmconsulting.com,1,2018-08-21T00:00:00.000Z,12,2027453710,,Corporation,2027453701,mossj@prmconsulting.com,1999-02-23T00:00:00.000Z,Jim Moss,LSDZXR55632082021,"Actuarial, Employee benefits, Compensation, change mamagement",.12,1814 13TH STREET NW WASHINGTON DC 20009 ,true,"Local Business Enterprise (LBE);Small Business Enterprise (SBE);Development Enterprise Zone (DZE);Resident Owned Business (ROB);",240445,397407.35,138526.98,38.9146048179912,-77.0298946902426
1013,"Pro-Air, Inc.","Charles Jewell;Robert Pearson;Chris Sakkos;Paul Hemme",2019-05-27T00:00:00.000Z,2019-02-08T05:02:22.000Z,proair-inc.com,2,2016-05-27T00:00:00.000Z,4,2025440044,,Corporation,,phemme@proair-inc.com,1994-09-20T00:00:00.000Z,Paul Hemme,LZ44932052019,"Commercial industrial institutional mechanical contracting to include plumbing, HVAC, controls and insulation.",,1319 F STREET NW WASHINGTON DC 20004 ,false,"Local Business Enterprise (LBE);Development Enterprise Zone (DZE);",243088,397346.13,136639.86,38.8976048015369,-77.0305932984702
1014,Jackson & Tull Chartered Engineers,Knox Tull,2019-06-21T00:00:00.000Z,2019-02-08T05:02:22.000Z,www.jnt.com,5,2016-06-08T00:00:00.000Z,11,2023339100,,Corporation,2025262876,hqadmin.1@jnt.com,1974-09-25T00:00:00.000Z,"Knox W Tull, Jr",LDZR85943062019,"Jackson and Tull (J&T) is an engineering and technology company that provides aerospace engineering and manufacturing, robotics, civil engineering, national security programs, and information technology services to the federal government, and state and local governments.",,2705 BLADENSBURG ROAD NE WASHINGTON DC 20018 ,false,"Local Business Enterprise (LBE);Disadvantaged Business Enterprise (DBE);Development Enterprise Zone (DZE);Resident Owned Business (ROB);",149320,402978.08,139626.21,38.9245058183589,-76.9656563204437
1015,JADD LLC,Jose Abastos,2019-12-02T00:00:00.000Z,2019-02-08T05:02:22.000Z,,1,2016-12-02T00:00:00.000Z,12,2026679473,,LLC,,jose@jadesigndevelopment.com,2014-03-15T00:00:00.000Z,Jose Abastos,LSZR18402122019,-Responsible for design and complete permit sets for DCRA submission. -Compose schematic designs with particular focus on design development.,,3501 14TH STREET NW Washington DC 20010 ,true,"Local Business Enterprise (LBE);Small Business Enterprise (SBE);Development Enterprise Zone (DZE);Resident Owned Business (ROB);",243171,397185.79,140761.32,38.9347317799431,-77.0324585598908
1016,Jahphut,Darryl Roberts,2021-11-30T00:00:00.000Z,2019-02-08T05:02:22.000Z,www.jahphut.com,8,2018-11-30T00:00:00.000Z,12,202-597-1512,,Sole Proprietorship,,droberts@jahphut.com,2005-03-07T00:00:00.000Z,Darryl Roberts,LSDZR58116112021,"Jahphut entertains and educates the community through blogs, novels, and creative writing programs infused with historical influences.\r\n\r\nJahphut is a small publishing company based in Washington, DC. We are pillars of the community dedicated to storytelling and publishing great works of fiction, non-fiction and poetry. We are committed to engaging the minds of members in the community, with a concentration on the youth -- by delivering messages of hope and empowerment, and teaching the art of finding the creative voice. Our goal is to provide an excellent reading experience with a dash of entertainment. Our core mission is to uplift the youth in our community, by sharing our experience, knowledge and passion for expressive art, by introducing programs that will therapeutically expand young minds.",.12,100 CHESAPEAKE STREET SE Washington DC 20032 ,true,"Local Business Enterprise (LBE);Disadvantaged Business Enterprise (DBE);Small Business Enterprise (SBE);Development Enterprise Zone (DZE);Resident Owned Business (ROB);",145517,399515.49,129065,38.8293711915958,-77.0055799999615
1017,"Gorove/Slade Associates, Inc.","Chad Baird;Daniel VanPelt;Christopher Tacinelli;Erwin Andres",2021-09-04T00:00:00.000Z,2019-02-08T05:02:22.000Z,www.goroveslade.com,2,2018-09-04T00:00:00.000Z,5,2022968625,,Corporation,2027851276,tom.godin@goroveslade.com,1979-10-03T00:00:00.000Z,Daniel VanPelt,LS87538092021,"Gorove/Slade Associates, Inc. provides transportation planning and traffic engineering consulting services to clients that include real estate developers, land owners, architecture/engineering (a/e) firms, and institutions such as colleges and universities. The firm prepares studies and design plans that advance projects.",.05,1140 CONNECTICUT AVENUE NW WASHINGTON DC 20036 ,true,"Local Business Enterprise (LBE);Small Business Enterprise (SBE);",278880,396431.45,137459.78,38.9049876950985,-77.0411418105671
1018,Gotham Partners DC,Robert Summers,2021-05-10T00:00:00.000Z,2019-02-08T05:02:22.000Z,www.gotham-partners.com,7,2018-04-20T00:00:00.000Z,10,2022765929,,LLC,,rsummers@gotham-partners.com,2018-02-26T00:00:00.000Z,Robert Summers,LSR358052021,Gotham Partners DC provides consulting services to help municipalities and organizations generate revenue using underutilized assets.,,3139 O STREET SE Washington DC 20020 ,true,"Local Business Enterprise (LBE);Small Business Enterprise (SBE);Resident Owned Business (ROB);",39666,403355.14,133816.06,38.8721645365995,-76.9613363848027
1019,Gotham Urban Ventures,Desa Sealy,2020-02-10T00:00:00.000Z,2019-02-08T05:02:22.000Z,www.gothamdev.com,3,2017-02-10T00:00:00.000Z,12,2025497699,,LLC,2026865976,desasealy@gotham-urban.com,2013-11-20T00:00:00.000Z,Desa Sealy,LSDR30820022020,Real estate development consulting and development.,,4530 CONNECTICUT AVENUE NW Washington DC 20008 ,true,"Local Business Enterprise (LBE);Disadvantaged Business Enterprise (DBE);Small Business Enterprise (SBE);Resident Owned Business (ROB);",221981,394191.26,142345.4,38.9489869312907,-77.0670102984014
1020,"Gotta Go Now, LLC",Frederick Hill III,2021-07-22T00:00:00.000Z,2019-02-08T05:02:22.000Z,gotta-gonow.com,8,2018-07-22T00:00:00.000Z,12,2027478105,,LLC,2028892615,fredhill@gotta-gonow.com,2009-07-15T00:00:00.000Z,Frederick Hill III,LSDZRV74118072021,Portable restroom rental,.12,1425 BANGOR STREET SE WASHINGTON DC 20020 ,true,"Local Business Enterprise (LBE);Disadvantaged Business Enterprise (DBE);Veteran Owned Business (VOB);Small Business Enterprise (SBE);Development Enterprise Zone (DZE);Resident Owned Business (ROB);",63989,401121.45,132505.1,38.8603605552584,-76.9870788881153
1021,"Quick Staff & Marketing Strategies, LLC DBA Rose Global Solutions","DARRYL ROSE;TIFFANY ROSE;GEO ROSE",2019-08-08T00:00:00.000Z,2019-02-08T05:02:22.000Z,,7,2016-08-08T00:00:00.000Z,12,2023303100,,LLC,,drose3100@yahoo.com,2016-04-27T00:00:00.000Z,DARRYL ROSE,LSZR18304082019,"STAFFING, LABOR, AND MARKETING SERVICES",,3604 AUSTIN STREET SE Washington DC 20020 ,true,"Local Business Enterprise (LBE);Small Business Enterprise (SBE);Development Enterprise Zone (DZE);Resident Owned Business (ROB);",32943,403820.59,132669.5,38.8618339559666,-76.9559790523868
1022,"Quinn Evans/Architects, Inc.","Lindsey Pickornik;Jeffrey Luker;Thomas Jester;Colin Mackillop;Julia Leora Mirvish;Kathryn Slattery;Rima Namek;Brandon Friske;Marisa Allen;Stephen Schwenk;Kemba Braynon;Christopher Tom;Richard Hess;James Mumby;Brian Oster;Anath Ranon;Brandon Schultz;Mark Nook;Joseph Cellucci;Mary Wojewodzki;Brenda Williams;Rita LaChance;Alyson Steele;Jeanine Quaglia;John Whitaker;Kathryn Irwin;James Thompson;Christine Cho;Robert Fink;Steven Spurlock;Abby Tourtellotte;Ann Dilcher;Richard Renaud;Elizabeth Roach;Patrick Roach;Ruth Mills;Jennifer Henriksen;Alexis Cecil;Elisabeth Knibbe;Larry Barr",2021-09-21T00:00:00.000Z,2019-02-08T05:02:22.000Z,www.quinnevans.com,2,2018-09-21T00:00:00.000Z,9,2022986700,,Corporation,2022986666,ap@quinnevans.com,1985-11-07T00:00:00.000Z,Larry Barr,LZX19054092021,"QEA is a full service architectural firm. We provide planning, design and construction administration services for historically significant properties, existing buildings, additions and new construction. QEA teams with excellent engineers to provide comprehensive architecture and engineering services.",.12,2121 WARD PLACE NW WASHINGTON DC 20037 ,false,"Local Business Enterprise (LBE);Longtime Resident Business (LRB);Development Enterprise Zone (DZE);",279548,395874.16,137616.87,38.9064003772942,-77.0475677492264
1023,Quito Electrical Contracting Co.,Maureen Worch,2019-07-05T00:00:00.000Z,2019-02-08T05:02:22.000Z,www.quitoelectric.com,4,2016-06-09T00:00:00.000Z,7,2025586990,,Corporation,2025582057,mbw@quitoelectric.com,2004-10-21T00:00:00.000Z,Maureen Worch,LSD47403072019,"Quito (pronounced KEY-tow) Electrical Contracting Company is a woman owned, small disadvantaged business. We have been in the electrical business since 2004 and have done work throughout the Washington Metropolitan area. We have performed an array of projects ranging from large to small projects. Our portfolio includes Walter Reed Armed Forces Pathology Laboratory, Walter Reed Army Institute of Research, Ft. Myer Building 525 Dental Clinic, Quantico Marine Corp. Staff Non-Commissioned Officer Academic Facility, Ft. Detrick AA-5 & Neocropsy Labs, United States Naval Academy Halsey Gymnasium and Physical Therapy Area, Indian Head Naval base Energenics Laboratory and many more. We have serviced a vast group of customers including: Department of Defense, GSA, Army Corp of Engineers, United States Naval Academy. Since we first opened our doors for business in 2004 as a woman owned small disadvantaged business, weve been serving the area with the utmost integrity and honesty. And we strive to achieve a higher standard of customer service than any other contractor. Whether youre interested in power lighting, security, fire alarm, building automation, or local area network configuration, were here for all of your electrical and telecommunication needs. We can perform new construction projects, remodels, renovations, laboratory work. We have been part of numerous projects which have received letters of accommodations due to the excellent job performed",,7603 GEORGIA AVENUE NW WASHINGTON DC 20012 ,true,"Local Business Enterprise (LBE);Disadvantaged Business Enterprise (DBE);Small Business Enterprise (SBE);",253714,397732.25,146000.74,38.9819314129607,-77.0261731210373
1024,Quixotec LLC,Leslie Mullen,2021-10-22T00:00:00.000Z,2019-02-08T05:02:22.000Z,,2,2018-10-22T00:00:00.000Z,9,4439550013,,LLC,,jerome@quixotecinc.com,2017-03-17T00:00:00.000Z,Leslie Mullen,LSZV78437102021,"• Managed IT Services - We offer structured processes to help our clients plan, design, deliver, operate, and control their IT services, both internally and externally. \r\n• Solution Architecture – We help organizations establish clearly defined requirements and then translate those into the right technology solution to fit their needs. \r\n• Internet of Things (IoT) Consulting – We help to demystify IoT with analysis to help businesses determine if, when, and how to leverage this emerging platform for connected devices. \r\n• Cloud Computing – From helping to define and execute an organizations cloud strategy to optimizing the existing Internet as a Service (IaaS), Platform as a Service (PaaS), and/or Software as a Service (SaaS) utilization, our team of cloud experts are ready to meet business specific cloud needs",.09,601 PENNSYLVANIA AVENUE NW Washington DC 20004 ,true,"Local Business Enterprise (LBE);Veteran Owned Business (VOB);Small Business Enterprise (SBE);Development Enterprise Zone (DZE);",226088,398221.46,136161.65,38.8932991178267,-77.0205014264438
1025,"MissionFirst Development, LLC","Sebastian Corradino;Sarah Constant",2019-04-11T00:00:00.000Z,2019-02-08T05:02:22.000Z,www.missionfirst.com,2,2016-03-21T00:00:00.000Z,7,2022239785,,LLC,2022239750,everette@missionfirst.com,2002-01-03T00:00:00.000Z,Sarah Constant,LSZ57101042019,Real estate development,,1330 NEW HAMPSHIRE AVENUE NW WASHINGTON DC 20036 ,true,"Local Business Enterprise (LBE);Small Business Enterprise (SBE);Development Enterprise Zone (DZE);",226576,396072.49,137801.46,38.9080641363934,-77.0452822135113
1026,MissionTech Solutions Inc. (MTSi),"Bishr Alshweikani;Manosij Roy",2021-09-14T00:00:00.000Z,2019-02-08T05:02:22.000Z,www.mtsi-inc.com,2,2018-09-14T00:00:00.000Z,5,2029042407,,Corporation,,manosijr@mtsi-inc.com,2018-02-22T00:00:00.000Z,Manosij Roy,LS02060092021,"Information Technology Consulting, Advisory and Development",.05,700 12TH STREET NW Washington DC 20005 ,true,"Local Business Enterprise (LBE);Small Business Enterprise (SBE);",279880,397540.99,136787.04,38.8989312187581,-77.028347517205
1027,"MJM Contracting, Inc","OSCAR MORINIGO;OSCAR MORINIGO;MARIA MORINIGO;MARIA MORINIGO",2021-10-31T00:00:00.000Z,2019-02-08T05:02:22.000Z,http://www.mjmcontractinginc.net/,2,2018-10-31T00:00:00.000Z,7,2404184545,,Corporation,2023305349,mjmcontracting@hotmail.com,2008-03-27T00:00:00.000Z,OSCAR MORINIGO,LSD58771102021,"Construction business doing concrete, carpentry, drywall, painting, remodeling, general building maintenance, ceramic, tiles, floorings and any related business within the industry.",.07,1627 K STREET NW WASHINGTON DC 20006 ,true,"Local Business Enterprise (LBE);Disadvantaged Business Enterprise (DBE);Small Business Enterprise (SBE);",242033,396732.08,137229.15,38.902911268147,-77.0376747505683
1028,"MJTyler & Associates, Inc.",Michael Tyler,2020-02-07T00:00:00.000Z,2019-02-08T05:02:22.000Z,,2,2017-01-26T00:00:00.000Z,10,2029556405,,Corporation,,mtyler@tylerandassoc.com,2005-08-15T00:00:00.000Z,Michael Tyler,LSR12541022020,Real estate and construction management for commercial real estate development projects.,,1666 K STREET NW WASHINGTON DC 20006 ,true,"Local Business Enterprise (LBE);Small Business Enterprise (SBE);Resident Owned Business (ROB);",243311,396701.89,137149.3,38.9021918383582,-77.0380224174619
1029,MLG Trucking LLC,Timothy Goodwin,2021-10-25T00:00:00.000Z,2019-02-08T05:02:22.000Z,,8,2018-10-25T00:00:00.000Z,9,2028677075,,LLC,,stormm1@aol.com,2016-08-05T00:00:00.000Z,timothy goodwin,LSDZ89313102021,Trucking & Hauling,.09,149 GALVESTON PLACE SW Washington DC 20032 ,true,"Local Business Enterprise (LBE);Disadvantaged Business Enterprise (DBE);Small Business Enterprise (SBE);Development Enterprise Zone (DZE);",62870,398961.06,128544.81,38.8246845962389,-77.0119644686489
1030,"MMP Enterprises, Inc.","Alvin Butler;Maribel Meruvia",2021-04-24T00:00:00.000Z,2019-02-08T05:02:22.000Z,www.mmpenterprises.com,8,2018-04-24T00:00:00.000Z,7,2026817670,,Corporation,,,2013-06-12T00:00:00.000Z,Alvin Butler,LSZ65999042021,"MMP Enterprises, Inc.s mission is to provide organizations with high-quality staffing services through superior customer service and a consistent supply of a quality workforce who are looking to advance their careers in various industries.",,1300 GOOD HOPE ROAD SE Washington DC 20020 ,true,"Local Business Enterprise (LBE);Small Business Enterprise (SBE);Development Enterprise Zone (DZE);",286020,401143.94,133272.28,38.8672716020732,-76.9868184867118
1031,"Mogoo, Inc.",John Gibbs,2021-10-01T00:00:00.000Z,2019-02-08T05:02:22.000Z,,5,2018-10-01T00:00:00.000Z,9,2022555669,,Corporation,3018081332,callmogoo@gmail.com,1998-02-06T00:00:00.000Z,John Gibbs,LSDZ33582102021,"Mogoo, Inc. is a small construction company that specializes in brick, cement, concrete and masonry work.",.09,1017 BRENTWOOD ROAD NE WASHINGTON DC 20018 ,true,"Local Business Enterprise (LBE);Disadvantaged Business Enterprise (DBE);Small Business Enterprise (SBE);Development Enterprise Zone (DZE);",285770,400768.65,138970.62,38.9186047621,-76.9911365428825
1032,"Molecular Systems, Inc.",Mack Jenkins,2019-11-10T00:00:00.000Z,2019-02-08T05:02:22.000Z,n/a,5,2016-10-13T00:00:00.000Z,9,2022693468,,Corporation,2022693469,msi9200@aol.com,1989-05-01T00:00:00.000Z,Mack M Jenkins,LSDZ13160112019,Building Construction/ Specialty Trade Contractor,,1818 NEW YORK AVENUE NE WASHINGTON DC 20002 ,true,"Local Business Enterprise (LBE);Disadvantaged Business Enterprise (DBE);Small Business Enterprise (SBE);Development Enterprise Zone (DZE);",55416,402020.97,138872.09,38.9177151838825,-76.9766960805832
1033,Montage Development Group,Kevin Brown,2020-12-12T00:00:00.000Z,2019-02-08T05:02:22.000Z,,1,2017-11-20T00:00:00.000Z,9,3015027559,,LLC,,kbrown@montagedevgroup.com,2015-04-29T00:00:00.000Z,Kevin Brown,LSDZ12172122020,"Entitlement Coordination - Montage coordinates with the owner, project design team, zoning counsel, local regulatory agencies, and community boards to obtain necessary approvals for the project.",,641 S STREET NW Washington DC 20001 ,true,"Local Business Enterprise (LBE);Disadvantaged Business Enterprise (DBE);Small Business Enterprise (SBE);Development Enterprise Zone (DZE);",279874,398170.06,138494.23,38.9143117140759,-77.0211001346688
1034,Monument Enterprises LLC,"Quinton Osborne;Charles Franklin",2019-11-23T00:00:00.000Z,2019-02-08T05:02:22.000Z,www.monument-ent.com,7,2016-11-16T00:00:00.000Z,12,2023271954,,LLC,2405605339,monumententerprises@gmail.com,2011-03-14T00:00:00.000Z,Quinton Osborne,LSDZR3068112019,"Monument Enterprises is a facilities maintenance company. Its core business focus is infrastructure, management,and service to all facilities.",,4193 MINNESOTA AVENUE NE WASHINGTON DC 20019 ,true,"Local Business Enterprise (LBE);Disadvantaged Business Enterprise (DBE);Small Business Enterprise (SBE);Development Enterprise Zone (DZE);Resident Owned Business (ROB);",25872,404846.94,136952.31,38.9004101067508,-76.9441232162791
